survey_name,orig_item_num,item_text,variable_name,response_type,response_options,response_options_text,age_range,form_construct,form_subconstruct,response_directed,form_frequency,Acknowledgements,Outstanding questions
National Survey of Children's Health,A20f3,"Is the current Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder), Mild, Moderate, or Severe?",ChildAutismLevel,numeric_scale,"1, 2, 3","Mild, Moderate, Severe",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20g1,Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD),ChildADHD,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,caregiver about child,longitudinal,,
National Survey of Children's Health,A20g2,Does this child CURRENTLY have Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD)?,ChildADHDCurrent,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20g3,"Is the current Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD), Mild, Moderate, or Severe?",ChildADHDLevel,numeric_scale,"1, 2, 3","Mild, Moderate, Severe",,Child Health/Well-Being,Cognition and Learning,,,,
PROMIS Parent Proxy Sleep Disturbance - Short Form,0,Please respond to each question or statement by marking one box per row.,ChildSleep,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,Length of time to evaluate
,,In the past 7 days...,ChildSleepHabits,NA,,,,NA,NA,,,,
PROMIS Parent Proxy Sleep Disturbance - Short Form,1,My child had difficulty falling asleep.,ChildSleep1,numeric_scale,"0, 1, 2, 3, 4","Never, Almost never, Sometimes, Almost always, Always",,Child Health/Well-Being,Sleep,caregiver about child,longitudinal,,
PROMIS Parent Proxy Sleep Disturbance - Short Form,2,My child slept through the night.,ChildSleep2,numeric_scale,"0, 1, 2, 3, 4","Never, Almost never, Sometimes, Almost always, Always",,Child Health/Well-Being,Sleep,caregiver about child,longitudinal,,
PROMIS Parent Proxy Sleep Disturbance - Short Form,3,My child had a problem with his/her sleep.,ChildSleep3,numeric_scale,"0, 1, 2, 3, 4","Never, Almost never, Sometimes, Almost always, Always",,Child Health/Well-Being,Sleep,caregiver about child,longitudinal,,
PROMIS Parent Proxy Sleep Disturbance - Short Form,4,My child had trouble sleeping.,ChildSleep4,numeric_scale,"0, 1, 2, 3, 4","Never, Almost never, Sometimes, Almost always, Always",,Child Health/Well-Being,Sleep,caregiver about child,longitudinal,,
National Survey of Children's Health,H4,How often does this child go to bed at about the same time on weeknights?,ChildSleep5,,,"Always, Usually, Sometimes, Rarely, Never",,Child Health/Well-Being,Sleep,caregiver about child,longitudinal,,
National Survey of Children's Health,H5,"DURING THE PAST WEEK, about how many hours of sleep did this child usually get on weeknights?",ChildSleepHours,,,"Less than 6 hours, 6 hours, 7 hours, 8 hours, 9 hours, 10 hours, 11 hours or more",,Child Health/Well-Being,Sleep,caregiver about child,longitudinal,,
Gender-Sex Questionnaire,1,What was this child's sex at birth?,ChildSexBirth,categorical & open_ended,,"Female, Male, Another answer (write in)",,Child Health/Well-Being,Sex and Gender,caregiver about child,one time,,
Gender-Sex Questionnaire,2,What is this child's current gender?,ChildGenderCurrent,categorical & open_ended,,"Female, Male, Nonbinary, Another answer (write in)",,Child Health/Well-Being,Sex and Gender,caregiver about child,longitudinal,,
Gender-Sex Questionnaire,3,"Over the last year, how frequently did this child engage in behaviors or express preferences that are more commonly associated with girls?",ChildBehGirls,numeric_scale,"0, 1, 2, 3, 4","Never, Rarely, Sometimes, Often, Always",,Child Health/Well-Being,Sex and Gender,caregiver about child,longitudinal,,
Gender-Sex Questionnaire,4,"Over the last year, how frequently did this child state that they are, or want to be, a girl?",ChildBeGirl,numeric_scale,"0, 1, 2, 3, 4","Never, Rarely, Sometimes, Often, Always",,Child Health/Well-Being,Sex and Gender,caregiver about child,longitudinal,,
Gender-Sex Questionnaire,5,"Over the last year, how frequently did this child engage in behaviors or express preferences that are more commonly associated with boys?",ChildBehBoys,numeric_scale,"0, 1, 2, 3, 4","Never, Rarely, Sometimes, Often, Always",,Child Health/Well-Being,Sex and Gender,caregiver about child,longitudinal,,
Gender-Sex Questionnaire,6,"Over the last year, how frequently did this child state that they are, or want to be, a boy?",ChildBeBoy,numeric_scale,"0, 1, 2, 3, 4","Never, Rarely, Sometimes, Often, Always",,Child Health/Well-Being,Sex and Gender,caregiver about child,longitudinal,,
Parenting Across Cultures,F0,"To answer each question, please select the answer that best describes what is happening to this child right now.",ChildPubertyFemale,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Parenting Across Cultures,F1,Would you say that this child's growth in height (getting taller):,ChildPubertyGrowthFemale,numeric_scale,"1, 2, 3, 4","has not yet begun to spurt (""spurt"" means more growth than usual), has barely started to spurt, has definitely started to happen but is not finished, seems completed (child is about as tall as she is going to get)",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,F2,How about the growth of body hair (e.g. under arms)? Would you say this child's body hair: ,ChildPubertyHairFemale,numeric_scale,"1, 2, 3, 4","has not started growing, has barely started growing, has definitely started growing but is not finished, seems completed (child has as much body hair as she is going to get)",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,F3,"Have you noticed any skin changes, especially pimples?",ChildPubertySkinFemale,numeric_scale,"1, 2, 3, 4","not yet started showing changes, have barely started showing changes, skin changes have definitely started but are not finished, skin changes seem completed",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,F4,Have this child's breasts begun to grow?,ChildPubertyBreastFemale,numeric_scale,"1, 2, 3, 4","not yet started growing, have barely started growing, breast growth has definitely started but is not finished, breast growth seems completed",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,F5,Has this child begun to menstruate?,ChildPubertyMenstruate,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,F5a,"If yes, how old was this child when she first got her period?",ChildPubertyMenstruateAge,open_ended,,years old,,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,M0,"To answer each question, please select the answer that best describes what is happening to this child right now.",ChildPubertyMale,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Parenting Across Cultures,M1,Would you say that this child's growth in height (getting taller):,ChildPubertyGrowthMale,numeric_scale,"1, 2, 3, 4","has not yet begun to spurt (""spurt"" means more growth than usual), has barely started to spurt, has definitely started to happen but is not finished, seems completed (child is about as tall as he is going to get)",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,M2,How about the growth of body hair (e.g. under arms)? Would you say this child's body hair: ,ChildPubertyHairMale,numeric_scale,"1, 2, 3, 4","has not started growing, has barely started growing, has definitely started growing but is not finished, seems completed (child has as much body hair as he is going to get)",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,M3,"Have you noticed any skin changes, especially pimples?",ChildPubertySkinMale,numeric_scale,"1, 2, 3, 4","not yet started showing changes, have barely started showing changes, skin changes have definitely started but are not finished, skin changes seem completed",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,M4,Has this child's voice started to change?,ChildPubertyVoiceMale,numeric_scale,"1, 2, 3, 4","not yet started to change, has barely started changing, voice change is definitely happening but is not finished, voice change seems completed",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Parenting Across Cultures,M5,Has this child started to grow facial hair (beard or mustache)?,ChildPubertyFaceHairMale,numeric_scale,"1, 2, 3, 4","not yet started growing facial hair, has barely started growing facial hair, hair growth has definitely started (enough to shave), probably grows now as fast as it will ever grow",,Child Health/Well-Being,Puberty,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,0,"PART 1: At any point in time since this child was born, has this child seen or been present when the following experiences happened? Please include past and present experiences. Please note, some questions have more than one part separated by ""OR."" If any part of the question is answered ""Yes,"" then the answer to the entire question is ""Yes."" Tally the number of statements that are TRUE for this child and enter the number in the box at the end of the list.",ChildPACESpart1,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,1,Has your child ever lived with a parent/caregiver who went to jail/prison?,ChildPACES1,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,2,"Do you think your child ever felt unsupported, unloved, and/or unprotected?",ChildPACES2,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,3,"Has your child ever lived with a parent/caregiver who had mental health issues? 
(for example, depression, schizophrenia, bipolar disorder, PTSD, or an anxiety disorder)",ChildPACES3,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,4,"Has a parent/caregiver ever insulted, humiliated, or put down your child?",ChildPACES4,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,5,"Has the child's biological parent or any caregiver ever had, or currently has, a problem with too much alcohol, street drugs, or prescription medications use?",ChildPACES5,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,6,"Has your child ever lacked appropriate care by any caregiver? 
(for example, not being protected from unsafe situations, or not cared for when sick or injured even when the resources were available)",ChildPACES6,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,7,"Has your child ever seen or heard a parent/caregiver being screamed at, sworn at, insulted, or humiliated by another adult?

Or has your child ever seen or heard a parent/caregiver being slapped, kicked, punched, beaten up, or hurt with a weapon?",ChildPACES7,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,8,"Has any adult in the household often or very often pushed, grabbed, slapped, or thrown something at your child?

Or has any adult in the household ever hit your child so hard that your child had marks or was injured?

Or has any adult in the household ever threatened your child or acted in a way that made your child afraid that they might be hurt?",ChildPACES8,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,9,"Has your child ever experienced sexual abuse?
(for example, anyone touched your child or asked your child to touch that person in a way that was unwanted, or made your child feel uncomfortable, or anyone ever attempted or actually had oral, anal, or vaginal sex with your child)",ChildPACES9,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,10,"Have there ever been significant changes in the relationship status of the child's caregiver(s)?
(for example, a parent/caregiver got a divorce or separated, or a romantic partner moved in or out)",ChildPACES10,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,0a,Part 1: TOTAL,ChildPACESTotal1,numeric,0-10,NA,,Child Health/Well-Being,Adverse Events,,,,
Pediatric ACEs and Related Life Events Screener,0,"PART 2: At any point in time since this child was born, has this child seen or been present when the following experiences happened? Please include past and present experiences. Please note, some questions have more than one part separated by ""OR."" If any part of the question is answered ""Yes,"" then the answer to the entire question is ""Yes."" Tally the number of statements that are TRUE for this child and enter the number in the box at the end of the list.",ChildPACESpart2,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,11,"Has your child ever seen, heard, or been a victim of violence in your neighborhood, community, or school?
(for example, targeted bullying, assault or other violent actions, war or terrorism)",ChildPACES11,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,12,"Has your child experienced discrimination?
(for example, being hassled or made to feel inferior or excluded because of their race, ethnicity, gender identity, sexual orientation, religion, learning differences, or disabilities)",ChildPACES12,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,13,"Has your child ever had problems with housing?
(for example, being homeless, not having a stable place to live, moved more than two times in a six-month period, faced eviction or foreclosure, or had to live with multiple families or family members)",ChildPACES13,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,14,Have you ever worried that your child did not have enough food to eat or that the food for your child would run out before you could buy more?,ChildPACES14,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,15,Has your child ever been separated from their parent or caregiver due to foster care or immigration?,ChildPACES15,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,16,Has your child ever lived with a parent/caregiver who had a serious physical illness or disability?,ChildPACES16,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,17,Has your child ever lived with a parent or caregiver who died?,ChildPACES17,NA,NA,NA,,Child Health/Well-Being,Adverse Events,caregiver about child,longitudinal,,
Pediatric ACEs and Related Life Events Screener,0b,Part 2: TOTAL,ChildPACESTotal2,numeric,0-7,NA,,Child Health/Well-Being,Adverse Events,,,,
Strengths and Difficulties Questionnaire,0,"For each item, please mark the box for Not True, Somewhat True, or Certainly True. It would help us if you answered all items as best you can even if you are not absolutely certain. Please give your answers on the basis of the child's behavior over the last six months or this school year.",ChildSDQitems,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,1,Considerate of other people's feelings,ChildSDQ1,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Prosocial,caregiver about child,longitudinal,,How similar to the original form do we plan to make these forms (formatting)?
Strengths and Difficulties Questionnaire,2,"Restless, overactive, cannot stay still for long",ChildSDQ2,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Hyperactivity,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,3,"Often complains of headaches, stomach-aches or sickness",ChildSDQ3,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Emotional Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,4,"Shares readily with other children, for example toys, treats, pencils",ChildSDQ4,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Prosocial,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,5,Often loses temper,ChildSDQ5,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Conduct Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,6,"Rather solitary, prefers to play alone",ChildSDQ6,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Peer Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,7,"Generally well behaved, usually does what adults request",ChildSDQ7,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Conduct Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,8,Many worries or often seems worried,ChildSDQ8,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Emotional Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,9,"Helpful if someone is hurt, upset or feeling ill",ChildSDQ9,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Prosocial,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,10,Constantly fidgeting or squirming,ChildSDQ10,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Hyperactivity,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,11,Has at least one good friend,ChildSDQ11,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Peer Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,12,Often fights with other children or bullies them,ChildSDQ12,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Conduct Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,13,"Often unhappy, depressed or tearful",ChildSDQ13,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Emotional Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,14,Generally liked by other children,ChildSDQ14,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Peer Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,15,"Easily distracted, concentration wanders",ChildSDQ15,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Hyperactivity,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,16,"Nervous or clingy in new situations, easily loses confidence",ChildSDQ16,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Emotional Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,17,Kind to younger children,ChildSDQ17,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Prosocial,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,18,Often lies or cheats,ChildSDQ18,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Conduct Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,19,Picked on or bullied by other children,ChildSDQ19,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Peer Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,20,"Often offers to help others (parents, teachers, other children)",ChildSDQ20,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Prosocial,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,21,Thinks things out before acting,ChildSDQ21,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Hyperactivity,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,22,"Steals from home, school or elsewhere",ChildSDQ22,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Conduct Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,23,Gets along better with adults than with other children,ChildSDQ23,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Peer Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,24,"Many fears, easily scared",ChildSDQ24,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Emotional Problems,caregiver about child,longitudinal,,
Strengths and Difficulties Questionnaire,25,"Good attention span, sees work through to the end",ChildSDQ25,numeric_scale,"0, 1, 2","Not True, Somewhat True, Certainly True",,Child Health/Well-Being,Hyperactivity,caregiver about child,longitudinal,,
Social Competence Scale,0,"For each item, please mark your best response to indicate how well the sentence describes this child.",ChildSCSitems,NA,NA,NA,,NA,NA,caregiver about child,longitudinal,,
Social Competence Scale,1,Your child accepts things when they do not go their way.,ChildSCS1,numeric_scale,"0, 1, 2, 3, 4","Not at all, Very well",,Social Emotional,Emotion Regulation,caregiver about child,longitudinal,,
