survey_name,orig_item_num,item_text,variable_name,response_type,response_options,response_options_text,reverse_coded,age_range,form_construct,question_type,response_directed,form_frequency,Acknowledgements
Teacher Beliefs and Experiences Scale (ideas about children),5,Children will not do the right thing unless they must.,TeacherIdeasChildren5,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),6,Children should be allowed to disagree with their parents if they feel their own ideas are better.,TeacherIdeasChildren6,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),7,Children should be kept busy with work and study at home and at school.,TeacherIdeasChildren7,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),8,The major goal of education is to put basic information into the minds of the children.,TeacherIdeasChildren8,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),9,"In order to be fair, a teacher must treat all children alike.",TeacherIdeasChildren9,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),10,The most important thing to teach children is absolute obedience to whoever is in authority.,TeacherIdeasChildren10,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),11,Children learn best by doing things themselves rather than listening to others.,TeacherIdeasChildren11,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),12,Children must be carefully trained early in life or their natural impulses will make them unmanageable.,TeacherIdeasChildren12,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),13,Children have a right to their own point of view and should be allowed to express it.,TeacherIdeasChildren13,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),14,Children's learning results mainly from being presented basic information again and again.,TeacherIdeasChildren14,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),15,Children like to teach other children.,TeacherIdeasChildren15,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Teacher Beliefs and Experiences Scale (ideas about children),16,The most important thing to teach children is absolute obedience to parents.,TeacherIdeasChildren16,numeric_scale,"0, 1, 2, 3, 4","Strongly Disagree, Mildly Disagree, Not Sure, Mildly Agree, Strongly Agree",FALSE,,Ideas About Children,Measurement,Teacher Report,,
Comprehensive Teacher Survey (connecting with students and families),0,Think about the families of the children you have taught this school year. For about how many families are each of the following statements true?,,NA,NA,NA,FALSE,,NA,,Teacher Report,,
Comprehensive Teacher Survey (connecting with students and families),1,Families seem overwhelmed by trying to support their children's learning.,TeacherFamilyOverwhelm,numeric_scale,"0, 1, 2, 3","None, One or a few, Many, All or almost all",TRUE,,Family Connection,Measurement,Teacher Report,,
Comprehensive Teacher Survey (connecting with students and families),2,Families are doing their part to support children's learning.,TeacherFamilyHelping,numeric_scale,"0, 1, 2, 3","None, One or a few, Many, All or almost all",FALSE,,Family Connection,Measurement,Teacher Report,,
Comprehensive Teacher Survey (connecting with students and families),0,Please indicate how satisfied or dissatisfied you have been with the following this school year.,,NA,NA,NA,FALSE,,NA,,Teacher Report,,
Comprehensive Teacher Survey (connecting with students and families),3,Communication between you and families.,TeacherCommFamily,numeric_scale,"0, 1, 2, 3, 4","Not satisfied at all, Slightly satisfied, Moderately satisfied, Quite satisfied, Very satisfied",FALSE,,Family Connection,Measurement,Teacher Report,,
Comprehensive Teacher Survey (connecting with students and families),4,Communication between you and your students.,TeacherCommStudents,numeric_scale,"0, 1, 2, 3, 4","Not satisfied at all, Slightly satisfied, Moderately satisfied, Quite satisfied, Very satisfied",FALSE,,Family Connection,Measurement,Teacher Report,,
