source,block_index,task,trial_type,audio_file,prompt,orig_item_num,item,time_limit,answer,notes,response_alternatives
EGMA,4,math,Missing Number,missing-number-prompt1,What number goes in the blank?,33,"1, 2, _, 4",5000,3,practice,"0,5,2"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,34,"5, 10, 15, _",5000,20,practice,"25,30,35"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,35,"5, 6, 7, _",5000,8,,"9,10,12"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,36,"14, 15, _, 17",5000,16,,"18,20,19"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,37,"20, _, 40, 50",5000,30,,"10,60,35"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,38,"_, 300, 400, 500",5000,200,,"100,150,600"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,39,"2, 4, 6, _",5000,8,,"9,10,7"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,40,"348, 349, _, 351",5000,350,,"347,346,352"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,41,"28, _, 24, 22",5000,26,,"27,20,29"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,42,"30, 35, _, 45",5000,40,,"50,25,55"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,43,"550, 540, 530, _",5000,520,,"510,500,525"
EGMA,4,math,Missing Number,missing-number-prompt2,What number goes here?,44,"3, 8, _, 18",5000,13,,"16,14,10"
EGMA,5,math,Addition lvl1,addition-prompt1,Add the numbers and choose the correct answer.,45,1+3,5000,4,,"5,6,2"
EGMA,5,math,Addition lvl1,addition-prompt1,Add the numbers and choose the correct answer.,46,2+3,5000,5,,"7,6,4"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,47,6+2,5000,8,,"9,7,12"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,48,4+5,5000,9,,"7,8,11"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,49,3+3,5000,6,,"4,7,8"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,50,8+1,5000,9,,"7,10,11"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,51,7+3,5000,10,,"11,9,8"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,52,3+9,5000,12,,"11,13,14"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,53,2+8,5000,10,,"9,11,12"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,54,9+3,5000,12,,"13,10,14"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,55,7+8,5000,15,,"13,17,19"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,56,4+7,5000,11,,"12,13,10"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,57,7+5,5000,12,,"14,13,11"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,58,8+6,5000,14,,"16,18,12"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,59,9+8,5000,17,,"19,15,16"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,60,6+7,5000,13,,"15,11,12"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,61,8+8,5000,16,,"14,18,17"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,62,8+5,5000,13,,"15,11,16"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,63,10+2,5000,12,,"14,13,11"
EGMA,5,math,Addition lvl1,addition-prompt2,Add the numbers.,64,8+10,5000,18,,"19,17,16"
EGMA,5,math,Addition lvl2,addition-prompt2,Add the numbers.,65,13+6,5000,19,,"18,17,20"
EGMA,5,math,Addition lvl2,addition-prompt2,Add the numbers.,66,18+7,5000,25,,"23,24,26"
EGMA,5,math,Addition lvl2,addition-prompt2,Add the numbers.,67,12+14,5000,26,,"24,28,25"
EGMA,5,math,Addition lvl2,addition-prompt2,Add the numbers.,68,22+37,5000,59,,"69,51,49"
EGMA,5,math,Addition lvl2,addition-prompt2,Add the numbers.,69,38+26,5000,64,,"54,66,56"
EGMA,6,math,Subtraction lvl1,subtraction-prompt1,Subtract the numbers and choose the correct answer.,70,4-3,5000,1,,"2,3,4"
EGMA,6,math,Subtraction lvl1,subtraction-prompt1,Subtract the numbers and choose the correct answer.,71,5-3,5000,2,,"3,4,5"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,72,8-2,5000,6,,"5,4,7"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,73,9-5,5000,4,,"6,5,3"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,74,6-3,5000,3,,"9,5,4"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,75,9-1,5000,8,,"7,9,10"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,76,10-3,5000,7,,"6,8,5"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,77,12-9,5000,3,,"4,2,5"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,78,10-8,5000,2,,"3,4,5"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,79,12-3,5000,9,,"8,7,10"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,80,15-8,5000,7,,"6,8,9"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,81,11-7,5000,4,,"2,3,5"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,82,12-5,5000,7,,"6,8,9"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,83,14-6,5000,8,,"7,6,9"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,84,17-8,5000,9,,"8,11,7"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,85,13-7,5000,6,,"7,8,9"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,86,16-8,5000,8,,"9,7,6"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,87,13-5,5000,8,,"7,9,6"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,88,12-2,5000,10,,"9,11,8"
EGMA,6,math,Subtraction lvl1,subtraction-prompt2,Subtract the numbers.,89,18-10,5000,8,,"7,10,9"
EGMA,6,math,Subtraction lvl2,subtraction-prompt2,Subtract the numbers.,90,19-6,5000,13,,"11,12,14"
EGMA,6,math,Subtraction lvl2,subtraction-prompt2,Subtract the numbers.,91,25-7,5000,18,,"19,17,16"
EGMA,6,math,Subtraction lvl2,subtraction-prompt2,Subtract the numbers.,92,26-14,5000,12,,"13,11,15"
EGMA,6,math,Subtraction lvl2,subtraction-prompt2,Subtract the numbers.,93,59-37,5000,22,,"21,19,23"
EGMA,6,math,Subtraction lvl2,subtraction-prompt2,Subtract the numbers.,94,64-26,5000,38,,"36,37,34"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,10",5000,1,,"4,3,2"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,10",5000,2,,"4,3,1"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,10",5000,4,,"3,1,2"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,10",5000,5,,"6,4,3"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,10",5000,7,,"5,6,9"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,10",5000,8,,"9,6,7"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,50,,"40,60,30"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,30,,"40,20,45"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,98,,"91,86,78"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,7,,"1,18,25"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,25,,"15,35,45"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,67,,"53,80,87"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,33,,"22,44,11"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,79,,"90,59,50"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,14,,"43,26,35"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,42,,"64,27,55"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,59,,"81,49,73"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,100",5000,71,,"61,55,86"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,258,,"132,373,413"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,461,,"334,501,393"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,507,,"482,624,588"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,417,,"336,492,302"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,310,,"250,420,480"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,5,,"105,205,175"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,639,,"549,769,859"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,831,,"731,931,631"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,542,,"452,632,362"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,941,,"801,735,670"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,644,,"752,451,910"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1000",5000,126,,"520,917,722"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1",5000,0.1,,"0.2,0.3,0.4"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1",5000,0.45,,"0.55,0.3,0.35"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1",5000,0.34,,"0.2,0.5,0.25"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1",5000,0.75,,"0.6,0.85,0.9"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1",5000,0.9,,"0.7,0.8,0.75"
Siegler,3,math,Number Line 4afc,number-line-prompt1,Choose the number that is marked on the number line.,,"0,1",5000,0.2,,"0.4,0.1,0.3"
George,7,math,Multiplication,multiplication-prompt1,Multiply the numbers and choose the correct answer.,,2x3,5000,6,,"5,9,8"
George,7,math,Multiplication,multiplication-prompt1,Multiply the numbers and choose the correct answer.,,4x2,5000,8,,"6,10,4"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,3x6,5000,18,,"20,14,9"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,8x1,5000,8,,"9,16,1"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,7x3,5000,21,,"11,20,19"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,2x14,5000,28,,"24,26,16"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,4x6,5000,24,,"22,32,12"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,4x8,5000,32,,"34,28,40"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,5x7,5000,35,,"30,45,55"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,7x6,5000,42,,"24,44,32"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,3x13,5000,39,,"37,36,42"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,7x8,5000,56,,"57,65,54"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,21x4,5000,84,,"86,64,25"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,26x3,5000,78,,"68,76,88"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,8x9,5000,72,,"63,92,84"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,9x11,5000,99,,"89,91,96"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,10x7,5000,70,,"77,107,67"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,6x100,5000,600,,"106,500,900"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,10x48,5000,480,,"408,840,464"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,20x42,5000,840,,"820,860,880"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,7x23,5000,161,,"116,121,187"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,351x4,5000,1404,,"1414,1384,1435"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,346x10,5000,3460,,"356,3640,3046"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,45x9,5000,405,,"365,409,393"
George,7,math,Multiplication,multiplication-prompt2,Multiply the numbers.,,219x20,5000,4380,,"2190,4830,4240"
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,10",5000,1,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,10",5000,2,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,10",5000,4,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,10",5000,5,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,10",5000,7,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,10",5000,8,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,50,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,30,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,98,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,7,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,25,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,67,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,33,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,79,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,14,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,42,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,59,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,100",5000,71,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,258,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,461,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,507,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,417,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,310,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,5,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,639,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,831,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,542,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,941,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,644,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1000",5000,126,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1",5000,0.1,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1",5000,0.45,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1",5000,0.34,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1",5000,0.75,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1",5000,0.9,,
Siegler,3,math,Number Line Slider,number-line-slider-prompt1,Move the slider to the indicated number.,,"0,1",5000,0.2,,
